loan_amount,rate_of_interest,property_value,income,Credit_Score,dtir1,term,anomaly_score,is_anomaly
306500,2.99,558000.0,16860.0,668,6.0,180.0,-0.08718632656823333,True
866500,3.99,1508000.0,13620.0,876,44.0,360.0,-0.00900279945557425,True
206500,2.99,708000.0,9600.0,846,23.0,180.0,-0.0314285437925278,True
116500,3.99,128000.0,4140.0,786,11.0,180.0,-0.02216194495061108,True
256500,4.125,818000.0,10260.0,653,10.0,180.0,-0.0242702968641767,True
106500,4.5,618000.0,6540.0,845,19.0,120.0,-0.07936643453484848,True
1376500,3.99,1708000.0,54300.0,572,10.0,360.0,-0.15104197507020178,True
556500,3.99,418000.0,25680.0,900,39.0,240.0,-0.02290799329395954,True
156500,3.99,208000.0,2520.0,737,59.0,180.0,-0.007995890368867387,True
396500,3.625,538000.0,26100.0,642,9.0,360.0,-0.004362993974643681,True
616500,2.99,828000.0,9900.0,848,38.0,180.0,-0.044052787245557945,True
456500,3.99,578000.0,78120.0,775,19.0,180.0,-0.07173979212974069,True
136500,3.99,278000.0,18420.0,880,10.0,180.0,-0.05897295055930696,True
706500,3.99,1068000.0,15840.0,866,35.0,180.0,-0.02887396252484209,True
76500,4.75,208000.0,7380.0,601,9.0,180.0,-0.050616883401087276,True
446500,4.875,638000.0,7440.0,809,48.0,180.0,-0.02155917743023894,True
256500,4.875,548000.0,10800.0,855,38.0,180.0,-0.006077880440657379,True
1226500,4.99,1758000.0,16260.0,711,37.0,360.0,-0.06828628849071894,True
96500,3.99,158000.0,4680.0,522,44.0,96.0,-0.014988190962969994,True
336500,3.25,458000.0,27000.0,508,24.0,180.0,-0.07793056224394812,True
1486500,3.625,2128000.0,23760.0,861,39.0,360.0,-0.09480921100803708,True
1416500,3.625,3848000.0,24060.0,767,31.0,360.0,-0.11775076661105899,True
486500,3.0,998000.0,12060.0,875,22.0,180.0,-0.06479048204230231,True
556500,4.75,738000.0,71220.0,893,19.0,360.0,-0.05454380911792689,True
496500,4.25,628000.0,30180.0,530,16.0,360.0,-0.022858701928564873,True
356500,3.625,958000.0,14640.0,621,30.0,120.0,-0.038631866093035816,True
876500,3.99,1268000.0,19800.0,885,45.0,360.0,-0.010148489057938526,True
526500,3.99,658000.0,10500.0,513,57.0,300.0,-0.0007002354100562602,True
556500,3.125,798000.0,10740.0,822,31.0,180.0,-0.029260667034732735,True
576500,3.75,2608000.0,11520.0,725,46.0,180.0,-0.0724520384358146,True
486500,3.125,828000.0,13860.0,561,25.0,156.0,-0.07906279702011654,True
436500,2.99,908000.0,14340.0,545,41.0,180.0,-0.043626072645567504,True
716500,3.99,1198000.0,7860.0,553,61.0,360.0,-0.010173001709888663,True
266500,4.25,338000.0,28440.0,735,10.0,180.0,-0.07925979809049566,True
406500,3.25,988000.0,15540.0,519,22.0,120.0,-0.09300717629941213,True
116500,3.99,158000.0,1980.0,880,52.0,180.0,-0.0031396188896586352,True
1506500,3.99,1948000.0,39300.0,877,30.0,360.0,-0.11477914733395833,True
726500,3.25,1258000.0,17580.0,762,20.0,240.0,-0.06445930750751117,True
486500,3.625,938000.0,22260.0,771,5.0,360.0,-0.04424655825552626,True
116500,3.875,418000.0,12360.0,866,21.0,180.0,-0.0006478213128260357,True
146500,3.99,148000.0,2220.0,669,59.0,180.0,-0.014029594120061328,True
116500,4.75,148000.0,5700.0,703,21.0,180.0,-0.011250915023196195,True
596500,3.5,1168000.0,13440.0,538,34.0,240.0,-0.03053073335487666,True
456500,3.5,1158000.0,14880.0,887,16.0,240.0,-0.05649259069954904,True
296500,3.75,428000.0,14100.0,805,22.0,96.0,-0.027909861989634632,True
146500,4.25,188000.0,5760.0,900,53.0,180.0,-0.004977389252127429,True
546500,3.5,918000.0,18720.0,727,19.0,180.0,-0.02962823063118092,True
476500,2.99,998000.0,9000.0,556,47.0,180.0,-0.035153422038211035,True
356500,3.125,658000.0,11220.0,886,22.0,180.0,-0.031595258734509524,True
476500,3.125,908000.0,189360.0,702,14.0,348.0,-0.09609675698833942,True
236500,2.99,528000.0,13920.0,878,20.0,180.0,-0.037187778408748984,True
446500,4.25,988000.0,15600.0,579,35.0,120.0,-0.05465119678668684,True
76500,3.99,98000.0,2400.0,517,56.0,180.0,-0.038116812677759904,True
726500,3.75,3108000.0,9300.0,503,39.0,360.0,-0.03178869802455109,True
356500,3.125,948000.0,14580.0,625,30.0,96.0,-0.07904526439799275,True
376500,4.375,768000.0,52080.0,866,27.0,360.0,-0.01709248762254989,True
126500,3.99,418000.0,13680.0,723,39.0,120.0,-0.015373238651663956,True
436500,2.99,608000.0,7260.0,626,43.0,180.0,-0.006236669616625723,True
76500,4.5,148000.0,1860.0,702,48.0,180.0,-0.017564524774145385,True
276500,3.99,368000.0,13560.0,508,37.0,132.0,-0.024397718960809556,True
406500,3.125,908000.0,6960.0,559,39.0,180.0,-0.008110567294763893,True
126500,4.75,758000.0,1680.0,745,61.0,360.0,-0.00660848568286343,True
286500,3.75,378000.0,26520.0,871,35.0,180.0,-0.022126796895482692,True
546500,4.25,738000.0,42600.0,620,38.0,180.0,-0.0780534265209486,True
436500,4.5,2598000.0,6360.0,545,49.0,360.0,-0.005784781717281695,True
